Date,Code,Description,Unit of Measure,Value
1983/02,KBP6009D,Gross fixed capital formation (Investment),R millions,288932
1983/03,KBP6009D,Gross fixed capital formation (Investment),R millions,268448
1983/04,KBP6009D,Gross fixed capital formation (Investment),R millions,276431
1984/01,KBP6009D,Gross fixed capital formation (Investment),R millions,275334
1984/02,KBP6009D,Gross fixed capital formation (Investment),R millions,274634
1984/03,KBP6009D,Gross fixed capital formation (Investment),R millions,275644
1984/04,KBP6009D,Gross fixed capital formation (Investment),R millions,269561
1985/01,KBP6009D,Gross fixed capital formation (Investment),R millions,270297
1985/02,KBP6009D,Gross fixed capital formation (Investment),R millions,259217
1985/03,KBP6009D,Gross fixed capital formation (Investment),R millions,245346
1985/04,KBP6009D,Gross fixed capital formation (Investment),R millions,243365
1986/01,KBP6009D,Gross fixed capital formation (Investment),R millions,210700
1986/02,KBP6009D,Gross fixed capital formation (Investment),R millions,206428
1986/03,KBP6009D,Gross fixed capital formation (Investment),R millions,210479
1986/04,KBP6009D,Gross fixed capital formation (Investment),R millions,201483
1987/01,KBP6009D,Gross fixed capital formation (Investment),R millions,202331
1987/02,KBP6009D,Gross fixed capital formation (Investment),R millions,192135
1987/03,KBP6009D,Gross fixed capital formation (Investment),R millions,193744
1987/04,KBP6009D,Gross fixed capital formation (Investment),R millions,198458
1988/01,KBP6009D,Gross fixed capital formation (Investment),R millions,215571
1988/02,KBP6009D,Gross fixed capital formation (Investment),R millions,219248
1988/03,KBP6009D,Gross fixed capital formation (Investment),R millions,224907
1988/04,KBP6009D,Gross fixed capital formation (Investment),R millions,225932
1989/01,KBP6009D,Gross fixed capital formation (Investment),R millions,226177
1989/02,KBP6009D,Gross fixed capital formation (Investment),R millions,234007
1989/03,KBP6009D,Gross fixed capital formation (Investment),R millions,240258
1989/04,KBP6009D,Gross fixed capital formation (Investment),R millions,242825
1990/01,KBP6009D,Gross fixed capital formation (Investment),R millions,238752
1990/02,KBP6009D,Gross fixed capital formation (Investment),R millions,233572
1990/03,KBP6009D,Gross fixed capital formation (Investment),R millions,227376
1990/04,KBP6009D,Gross fixed capital formation (Investment),R millions,221486
1991/01,KBP6009D,Gross fixed capital formation (Investment),R millions,217077
1991/02,KBP6009D,Gross fixed capital formation (Investment),R millions,215421
1991/03,KBP6009D,Gross fixed capital formation (Investment),R millions,211702
1991/04,KBP6009D,Gross fixed capital formation (Investment),R millions,208926
1992/01,KBP6009D,Gross fixed capital formation (Investment),R millions,205693
1992/02,KBP6009D,Gross fixed capital formation (Investment),R millions,204969
1992/03,KBP6009D,Gross fixed capital formation (Investment),R millions,200049
1992/04,KBP6009D,Gross fixed capital formation (Investment),R millions,197542
1993/01,KBP6009D,Gross fixed capital formation (Investment),R millions,196468
1993/02,KBP6009D,Gross fixed capital formation (Investment),R millions,198474
1993/03,KBP6009D,Gross fixed capital formation (Investment),R millions,201821
1993/04,KBP6009D,Gross fixed capital formation (Investment),R millions,207005
1994/01,KBP6009D,Gross fixed capital formation (Investment),R millions,209074
1994/02,KBP6009D,Gross fixed capital formation (Investment),R millions,213646
1994/03,KBP6009D,Gross fixed capital formation (Investment),R millions,219527
1994/04,KBP6009D,Gross fixed capital formation (Investment),R millions,227810
1995/01,KBP6009D,Gross fixed capital formation (Investment),R millions,233056
1995/02,KBP6009D,Gross fixed capital formation (Investment),R millions,242214
1995/03,KBP6009D,Gross fixed capital formation (Investment),R millions,243393
1995/04,KBP6009D,Gross fixed capital formation (Investment),R millions,244412
1996/01,KBP6009D,Gross fixed capital formation (Investment),R millions,253381
1996/02,KBP6009D,Gross fixed capital formation (Investment),R millions,261413
1996/03,KBP6009D,Gross fixed capital formation (Investment),R millions,266185
1996/04,KBP6009D,Gross fixed capital formation (Investment),R millions,268852
1997/01,KBP6009D,Gross fixed capital formation (Investment),R millions,274639
1997/02,KBP6009D,Gross fixed capital formation (Investment),R millions,277140
1997/03,KBP6009D,Gross fixed capital formation (Investment),R millions,278334
1997/04,KBP6009D,Gross fixed capital formation (Investment),R millions,280000
1998/01,KBP6009D,Gross fixed capital formation (Investment),R millions,286210
1998/02,KBP6009D,Gross fixed capital formation (Investment),R millions,286001
1998/03,KBP6009D,Gross fixed capital formation (Investment),R millions,293196
1998/04,KBP6009D,Gross fixed capital formation (Investment),R millions,297607
1999/01,KBP6009D,Gross fixed capital formation (Investment),R millions,276586
1999/02,KBP6009D,Gross fixed capital formation (Investment),R millions,265572
1999/03,KBP6009D,Gross fixed capital formation (Investment),R millions,264225
1999/04,KBP6009D,Gross fixed capital formation (Investment),R millions,268297
2000/01,KBP6009D,Gross fixed capital formation (Investment),R millions,272115
2000/02,KBP6009D,Gross fixed capital formation (Investment),R millions,276014
2000/03,KBP6009D,Gross fixed capital formation (Investment),R millions,281047
2000/04,KBP6009D,Gross fixed capital formation (Investment),R millions,287048
2001/01,KBP6009D,Gross fixed capital formation (Investment),R millions,287815
2001/02,KBP6009D,Gross fixed capital formation (Investment),R millions,287092
2001/03,KBP6009D,Gross fixed capital formation (Investment),R millions,287061
2001/04,KBP6009D,Gross fixed capital formation (Investment),R millions,286057
2002/01,KBP6009D,Gross fixed capital formation (Investment),R millions,290229
2002/02,KBP6009D,Gross fixed capital formation (Investment),R millions,292527
2002/03,KBP6009D,Gross fixed capital formation (Investment),R millions,298925
2002/04,KBP6009D,Gross fixed capital formation (Investment),R millions,306437
2003/01,KBP6009D,Gross fixed capital formation (Investment),R millions,311520
2003/02,KBP6009D,Gross fixed capital formation (Investment),R millions,322397
2003/03,KBP6009D,Gross fixed capital formation (Investment),R millions,332473
2003/04,KBP6009D,Gross fixed capital formation (Investment),R millions,343360
2004/01,KBP6009D,Gross fixed capital formation (Investment),R millions,353674
2004/02,KBP6009D,Gross fixed capital formation (Investment),R millions,360668
2004/03,KBP6009D,Gross fixed capital formation (Investment),R millions,375645
2004/04,KBP6009D,Gross fixed capital formation (Investment),R millions,388418
2005/01,KBP6009D,Gross fixed capital formation (Investment),R millions,392814
2005/02,KBP6009D,Gross fixed capital formation (Investment),R millions,403360
2005/03,KBP6009D,Gross fixed capital formation (Investment),R millions,415474
2005/04,KBP6009D,Gross fixed capital formation (Investment),R millions,429140
2006/01,KBP6009D,Gross fixed capital formation (Investment),R millions,438994
2006/02,KBP6009D,Gross fixed capital formation (Investment),R millions,451850
2006/03,KBP6009D,Gross fixed capital formation (Investment),R millions,467348
2006/04,KBP6009D,Gross fixed capital formation (Investment),R millions,481864
2007/01,KBP6009D,Gross fixed capital formation (Investment),R millions,510060
2007/02,KBP6009D,Gross fixed capital formation (Investment),R millions,520181
2007/03,KBP6009D,Gross fixed capital formation (Investment),R millions,526153
2007/04,KBP6009D,Gross fixed capital formation (Investment),R millions,536830
2008/01,KBP6009D,Gross fixed capital formation (Investment),R millions,559722
