Date,Code,Description,Unit of Measure,Value
1984/02,KBP5010L,Balance of Payments: Trade balance,R millions,2116
1984/03,KBP5010L,Balance of Payments: Trade balance,R millions,2532
1984/04,KBP5010L,Balance of Payments: Trade balance,R millions,5388
1985/01,KBP5010L,Balance of Payments: Trade balance,R millions,8902
1985/02,KBP5010L,Balance of Payments: Trade balance,R millions,11950
1985/03,KBP5010L,Balance of Payments: Trade balance,R millions,11874
1985/04,KBP5010L,Balance of Payments: Trade balance,R millions,16862
1986/01,KBP5010L,Balance of Payments: Trade balance,R millions,11874
1986/02,KBP5010L,Balance of Payments: Trade balance,R millions,16519
1986/03,KBP5010L,Balance of Payments: Trade balance,R millions,16202
1986/04,KBP5010L,Balance of Payments: Trade balance,R millions,15269
1987/01,KBP5010L,Balance of Payments: Trade balance,R millions,18454
1987/02,KBP5010L,Balance of Payments: Trade balance,R millions,16116
1987/03,KBP5010L,Balance of Payments: Trade balance,R millions,20724
1987/04,KBP5010L,Balance of Payments: Trade balance,R millions,20490
1988/01,KBP5010L,Balance of Payments: Trade balance,R millions,12297
1988/02,KBP5010L,Balance of Payments: Trade balance,R millions,11858
1988/03,KBP5010L,Balance of Payments: Trade balance,R millions,22360
1988/04,KBP5010L,Balance of Payments: Trade balance,R millions,15605
1989/01,KBP5010L,Balance of Payments: Trade balance,R millions,10387
1989/02,KBP5010L,Balance of Payments: Trade balance,R millions,12818
1989/03,KBP5010L,Balance of Payments: Trade balance,R millions,18204
1989/04,KBP5010L,Balance of Payments: Trade balance,R millions,16819
1990/01,KBP5010L,Balance of Payments: Trade balance,R millions,15789
1990/02,KBP5010L,Balance of Payments: Trade balance,R millions,17030
1990/03,KBP5010L,Balance of Payments: Trade balance,R millions,13365
1990/04,KBP5010L,Balance of Payments: Trade balance,R millions,20764
1991/01,KBP5010L,Balance of Payments: Trade balance,R millions,10043
1991/02,KBP5010L,Balance of Payments: Trade balance,R millions,19546
1991/03,KBP5010L,Balance of Payments: Trade balance,R millions,11680
1991/04,KBP5010L,Balance of Payments: Trade balance,R millions,22479
1992/01,KBP5010L,Balance of Payments: Trade balance,R millions,21122
1992/02,KBP5010L,Balance of Payments: Trade balance,R millions,17843
1992/03,KBP5010L,Balance of Payments: Trade balance,R millions,17934
1992/04,KBP5010L,Balance of Payments: Trade balance,R millions,14733
1993/01,KBP5010L,Balance of Payments: Trade balance,R millions,23607
1993/02,KBP5010L,Balance of Payments: Trade balance,R millions,23949
1993/03,KBP5010L,Balance of Payments: Trade balance,R millions,19877
1993/04,KBP5010L,Balance of Payments: Trade balance,R millions,30863
1994/01,KBP5010L,Balance of Payments: Trade balance,R millions,21284
1994/02,KBP5010L,Balance of Payments: Trade balance,R millions,15286
1994/03,KBP5010L,Balance of Payments: Trade balance,R millions,11737
1994/04,KBP5010L,Balance of Payments: Trade balance,R millions,14017
1995/01,KBP5010L,Balance of Payments: Trade balance,R millions,8685
1995/02,KBP5010L,Balance of Payments: Trade balance,R millions,-1012
1995/03,KBP5010L,Balance of Payments: Trade balance,R millions,14697
1995/04,KBP5010L,Balance of Payments: Trade balance,R millions,12186
1996/01,KBP5010L,Balance of Payments: Trade balance,R millions,9937
1996/02,KBP5010L,Balance of Payments: Trade balance,R millions,7960
1996/03,KBP5010L,Balance of Payments: Trade balance,R millions,18551
1996/04,KBP5010L,Balance of Payments: Trade balance,R millions,13140
1997/01,KBP5010L,Balance of Payments: Trade balance,R millions,8934
1997/02,KBP5010L,Balance of Payments: Trade balance,R millions,9409
1997/03,KBP5010L,Balance of Payments: Trade balance,R millions,13749
1997/04,KBP5010L,Balance of Payments: Trade balance,R millions,10848
1998/01,KBP5010L,Balance of Payments: Trade balance,R millions,17485
1998/02,KBP5010L,Balance of Payments: Trade balance,R millions,15749
1998/03,KBP5010L,Balance of Payments: Trade balance,R millions,4900
1998/04,KBP5010L,Balance of Payments: Trade balance,R millions,2098
1999/01,KBP5010L,Balance of Payments: Trade balance,R millions,37828
1999/02,KBP5010L,Balance of Payments: Trade balance,R millions,19310
1999/03,KBP5010L,Balance of Payments: Trade balance,R millions,22839
1999/04,KBP5010L,Balance of Payments: Trade balance,R millions,17883
2000/01,KBP5010L,Balance of Payments: Trade balance,R millions,29189
2000/02,KBP5010L,Balance of Payments: Trade balance,R millions,32236
2000/03,KBP5010L,Balance of Payments: Trade balance,R millions,27971
2000/04,KBP5010L,Balance of Payments: Trade balance,R millions,41204
2001/01,KBP5010L,Balance of Payments: Trade balance,R millions,43240
2001/02,KBP5010L,Balance of Payments: Trade balance,R millions,50273
